"Make & Model
",Issue Tested,Base MSRP,Engine Type,Transmission,Rear-Wheel HP,Rear-Wheel TQ (lb.-ft.),Wet Weight,Average MPG,Top Speed,"0–60 mph, sec.","0–100 mph, sec.","0–1/4 mile, sec.","0–1/4 mile, mph",Braking 60–0 mph (feet),Power to Weight,"Rating Category
Overall Rating",,,,dimensions,15
XL1200S,3/96,$7910,V-2,5,56.0,61.0,520,50.5,107,4.74,n/.a,13.54,93.85,110.0,1:9.29,Heavyweight Cruiser,,,,,
XL1200S Sportster,10/99,$8495,V-2,5,56.4,65.5,526,50.4,110,4.80,n/.a,13.15,98.65,114.5,1:9.33,Heavyweight Cruiser,,,,,
XL1200C Sportster,12/03,"$10,040",V-2,5,58.0,68.7,585,44.2,124,4.58,n/.a,12.99,100.11,123.7,1:10.09,Heavyweight Cruiser,,,,,
XL1200N Nightster,7/07,$9595,V-2,5,57.2,64.4,564,40.7,107,4.84,13.74,13.21,99.71,121.7,1:9.86,Heavyweight Cruiser,,,,,
XR1200,3/09,"$11,079",V-2,5,79.26,67.53,580,40.0,120.7,3.99,11.18,12.25,106.56,109.5,1:7.32,Open Standard,,,,,
Sportster 72,6/12,"$10,499",V-2,5,54.67,59.81,559.5,43.3,108,5.32,n/.a,13.69,95.01,120.7,1:10.23,Heavyweight Cruiser,,,,,
FLSTS Hrtg Sprgr,6/97,"$16,995",V-2,5,51.7,65.3,724,48.7,107,5.96,n/.a,14.15,92.32,126.6,1:14.00,Heavyweight Cruiser,,,,,
FLHTCUI EG Ult Clsc,12/97,"$19,299",V-2,5,55.5,69.1,800,41.0,92,7.16,n/.a,15.20,83.14,132.9,1:14.41,Luxury Tourer,,,,,
FXCWC Rocker C,10/09,"$19,844",V-2,6,60.98,78.9,705.5,36.2,114.4,5.70,n/.a,13.95,94.14,127.6,1:11.57,Heavyweight Cruiser,,,,,
FXDS Convertible,11/96,"$13,330",V-2,5,48.4,62.2,675,44.4,103,5.99,n/.a,14.23,90.27,116.6,1:13.95,Heavyweight Cruiser,,,,,
FXDX Super Glide Sport,11/98,"$12,999",V-2,5,58.2,72.0,658,37.1,113,5.08,17.27,13.47,95.39,118.1,1:11.31,Heavyweight Cruiser,,,,,
FXST Softail,11/99,"$12,355",V-2,5,57.7,71.8,664,31.4,123,4.82,n/.a,13.13,98.99,122.0,1:11.51,Heavyweight Cruiser,,,,,
FLD Dyna Switchback,11/11,"$15,999",V-2,6,67.65,85.82,730,46.0,118.2,5.18,n/.a,13.66,93.03,114.03,1:10.79,Heavyweight Cruiser,,,,,
FLHR Road King,3/99,"$16,235",V-2,5,62.3,76.5,750,36.0,102,5.60,n/.a,13.94,91.85,122.2,1:12.04,Heavyweight Cruiser,,,,,
FLHRS Road King Custom,4/07,"$17,525",V-2,5,66.44,78.3,744,38.0,110,5.02,n/.a,13.44,96.44,124.7,1:11.20,Heavyweight Cruiser,,,,,
FLHTCUI EG Ult Clsc ’99,4/99,"$18,480",V-2,5,56.6,69.4,841,35.5,95,6.19,n/.a,14.49,87.57,126.6,1:14.86,Custom Tourer,,,,,
FLTR Road Glide,12/99,"$15,270",V-2,5,62.7,73.5,777,38.2,105,5.46,n/.a,13.88,92.37,120.3,1:12.39,Heavyweight Cruiser,,,,,
FLTRX Road Glide Custom,6/11,"$18,999",V-2,6,66.09,81.56,822,43.8,117.8,5.43,n/.a,13.66,96.91,134.8,1:12.44,Heavyweight Cruiser,,,,,
FLSTF/I Fat Boy,4/01,"$16,295",V-2,5,62.8,70.2,701,45.3,112,5.03,n/.a,13.45,95.95,123.3,1:11.16,Heavyweight Cruiser,,,,,
FLHTCUI Ult Clsc Elec Gld,7/01,"$18,980",V-2,5,59.3,70.3,836,45.3,94,6.51,n/.a,14.75,84.57,123.4,1:14.10,Custom Tourer,,,,,
FLHTK,11/13,"$26,939",V-2,6,77.65,89.83,904,35.8,103.25,5.52,n/.a,13.99,93.71,129.1,1:11.67,Custom Tourer,,,,,
FLTR Road Glide,12/08,"$19,844",V-2,6,68.1,78.7,832,38.9,109,6.20,n/.a,14.40,91.04,136.0,1:12.12,Heavyweight Cruiser,,,,,
FLHX Street Glide,12/10,"$18,999",V-2,6,65.98,80.56,811.5,40.3,110.9,5.40,n/.a,13.68,95.63,131.2,1:12.30,Custom Tourer,,,,,
FXWGI Dyna Wide Glide,11/05,"$17,480",V-2,6,59.5,70.0,677,39.6,117,5.34,n/.a,13.21,96.22,120.0,1:11.38,Heavyweight Cruiser,,,,,
FXDBI Street Bob,9/06,"$13,195",V-2,6,59.7,69.2,667,35.8,116,5.58,n/.a,13.86,95.07,122.7,1:11.17,Open Standard,,,,,
VRSCX V-Rod,6/07,"$19,995",V-2,5,107.4,75.9,676,38.2,138,3.59,8.39,11.46,117.57,114.7,1:6.29,Heavyweight Cruiser,,,,,
CVO Fat Boy,4/05,"$27,995",V-2,5,75.7,84.3,726,38.1,124,4.62,12.60,12.74,104.06,127.9,1:9.59,Heavyweight Cruiser,,,,,
FLHTCUTG Tri Glide U/Clsc,1/11,"$30,799",V-2,6,n/.a,n/.a,1070,34.9,90.8,7.40,n/.a,15.47,82.47,143.2,1:17.74,Heavyweight Trike,,,,,
Honda Grom 125,1/14,$2999,1,4,8.79,7.83,224.5,95.7,63.8,n/.a,n/.a,20.21,55.99,n/a,1:25.5,Urban/Pit Bike,,,,,
CBR250R,4/11,$3995,1,6,21.92,14.65,366,56.5,91.2,8.79,n/.a,16.32,75.83,124.3,1:16.7,Lightweight Sportbike,,,,,
CRF230L,12/09,$4999,1,6,14.53,11.8,268,61.6,74.7,n/.a,n/.a,19.17,59.77,143.4,1:18.43,Lightweight Dual-Sport,,,,,
CRF250L,1/13,$4499,1,6,18.04,13.18,320.5,56.0,75.4,9.86,n/.a,16.85,72.50,133.05,1:17.77,Lightweight Dual-Sport,,,,,
